Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIRMAL,NIRMAL,NIRMAL,NIRMAL - TOWN,NIRMALTOWN- I,3,INDUSTRIAL,102,43,35379.0,2608.53
NIRMAL,NIRMAL,NIRMAL,NIRMAL-TOWN2,NIRMAL (T),3,INDUSTRIAL,129,112,77877.0,2527.93
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,TIMMAREDDIPET,3,INDUSTRIAL,4,4,507.0,16.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,3,INDUSTRIAL,88,59,18769.0,1925.81
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,JANGAMIPALLI,3,INDUSTRIAL,4,3,255.0,34.0
NIRMAL,NIRMAL,NIRMAL,SOAN,SOAN,3,INDUSTRIAL,7,4,3488.0,328.5
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MATOOR,3,INDUSTRIAL,1,0,0.0,3.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LAXMAPOOR,3,INDUSTRIAL,1,0,0.0,10.0
NIRMAL,NIRMAL,NIRMAL,SOAN,SIDDULAKUNTA,3,INDUSTRIAL,2,1,105.0,20.0
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,MUNEPALLI,3,INDUSTRIAL,3,2,107.0,30.0
NIRMAL,NIRMAL,NIRMAL RURAL,LAXMANCHANDA,NARSAPUR(W),3,INDUSTRIAL,3,1,65.0,64.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MALLAIPALLY,3,INDUSTRIAL,1,1,886.0,74.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,ARLI(B),3,INDUSTRIAL,3,1,950.0,37.53
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,CHITYAL,3,INDUSTRIAL,2,0,0.0,15.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,KONDAPUR,3,INDUSTRIAL,8,4,1961.0,426.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,KOUTLA(K),3,INDUSTRIAL,4,1,727.0,259.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,MANJULAPUR,3,INDUSTRIAL,8,8,2416.0,138.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,MEDIPALLY,3,INDUSTRIAL,2,0,0.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,RAGAVAPALLI,3,INDUSTRIAL,2,0,0.0,5.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,AALOOR,3,INDUSTRIAL,2,0,0.0,25.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,BEERVELLY,3,INDUSTRIAL,7,5,901.0,142.5
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,DEVANPALLI,3,INDUSTRIAL,6,5,3309.0,241.26
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,JAAM,3,INDUSTRIAL,2,2,288.0,12.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KANKATI,3,INDUSTRIAL,1,1,33.0,10.0
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,KOUTLA(B),3,INDUSTRIAL,3,1,43.0,88.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,ADVILINGAL,3,INDUSTRIAL,2,0,0.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,PEDDA REDDY,3,INDUSTRIAL,7,2,2383.0,118.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,JANKAMPALLY(J),3,INDUSTRIAL,3,3,466.0,60.9
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SARANGAPUR,3,INDUSTRIAL,17,9,1638.0,309.5
NIRMAL,NIRMAL,NIRMAL RURAL,SARANGAPUR,SWARNA,3,INDUSTRIAL,2,1,139.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,LINGAREDDIPET,3,INDUSTRIAL,9,6,1806.0,63.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MATHMAL,3,INDUSTRIAL,3,3,79.0,60.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,RAMAKKAPALLI,3,INDUSTRIAL,3,2,582.0,42.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,WADALPARTHI,3,INDUSTRIAL,2,1,321.0,15.0
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,L3,3,INDUSTRIAL,13,13,4009.0,170.0
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTIBUTION-I,M1,3,INDUSTRIAL,23,19,19248.0,669.57
NIZAMABAD,NIZAMABAD,NIZAMABAD - TOWN,DISTRIBUTION-IV,L7,3,INDUSTRIAL,9,8,4611.0,128.8
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,VELLUTLA,3,INDUSTRIAL,5,2,448.0,36.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,GANDHIMASANIPET,3,INDUSTRIAL,5,2,36.0,41.0
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,AREPALLI,3,INDUSTRIAL,46,35,164220.0,2149.77
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,ENUMAMULA,3,INDUSTRIAL,1,1,4196.0,49.0
WARANGAL,WARANGAL,MULUGU ROAD,AREPALLY,KOTHAPET,3,INDUSTRIAL,5,0,0.0,99.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MAL THUMMEDA,3,INDUSTRIAL,9,5,6882.0,388.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,NAGIREDDIPET,3,INDUSTRIAL,18,12,3679.0,315.43
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,BALASANTHANAGAR,3,INDUSTRIAL,2,2,1704.0,28.98
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,DESAIPET,3,INDUSTRIAL,5,4,6964.0,156.0
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,L B NAGAR,3,INDUSTRIAL,84,42,35318.0,2786.843
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,BONDIVAGU,3,INDUSTRIAL,3,3,1087.0,80.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,BHIKNOOR,3,INDUSTRIAL,1,0,0.0,10.0
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DASNAPUR,3,INDUSTRIAL,1,0,0.0,10.0
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DEVAPOOR,3,INDUSTRIAL,1,0,0.0,7.66
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DHANNURA (B),3,INDUSTRIAL,2,0,0.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MEESANPALLI,3,INDUSTRIAL,2,1,0.0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,GOLI LINGAL,3,INDUSTRIAL,1,1,69.0,2.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,KANNAREDDI,3,INDUSTRIAL,2,0,0.0,50.0
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,MATWADA,3,INDUSTRIAL,99,46,28701.0,1864.595
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,THIMMAPOOR,3,INDUSTRIAL,2,2,80.0,9.0
