Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,NAGIREDDIPET,3,INDUSTRIAL,17,11,6144.0,305.43
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,BALASANTHANAGAR,3,INDUSTRIAL,2,2,2665.0,28.98
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,DESAIPET,3,INDUSTRIAL,4,4,6994.0,150.0
WARANGAL,WARANGAL,MULUGU ROAD,DESAIPET,L B NAGAR,3,INDUSTRIAL,84,78,31782.0,2735.523
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,BONDIVAGU,3,INDUSTRIAL,2,2,3723.0,70.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,BHIKNOOR,3,INDUSTRIAL,1,0,0.0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,GOLI LINGAL,3,INDUSTRIAL,1,1,85.0,2.0
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DASNAPUR,3,INDUSTRIAL,1,0,0.0,10.0
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DEVAPOOR,3,INDUSTRIAL,1,0,0.0,7.66
ADILABAD,UTNOOR,UTNOOR,INDERVELLY,DHANNURA (B),3,INDUSTRIAL,2,0,0.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,MEESANPALLI,3,INDUSTRIAL,2,1,534.0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,TANDOOR,3,INDUSTRIAL,5,1,531.0,132.3
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,KANNAREDDI,3,INDUSTRIAL,2,0,0.0,50.0
WARANGAL,WARANGAL,MULUGU ROAD,MATWADA,MATWADA,3,INDUSTRIAL,99,61,34533.0,1794.585
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,THIMMAPOOR,3,INDUSTRIAL,2,2,105.0,9.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,HAJIPOOR,3,INDUSTRIAL,3,2,174.0,20.0
ADILABAD,UTNOOR,UTNOOR,GUDIHATNOOR,GUDIHATHNOOR,3,INDUSTRIAL,18,13,21861.0,331.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,MASANPALLI (M),3,INDUSTRIAL,1,1,155.0,10.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,NAGIREDDIPET,POCHARAM,3,INDUSTRIAL,2,0,0.0,20.0
KAMAREDDY,YELLAREDDY,YELLAREDDY,YELLAREDDY,SATHOLI,3,INDUSTRIAL,1,1,0.0,2.0
KHAMMAM,SATHUPALLY,THALLADA,KURNAVALLY,MALSOOR THANDA,3,INDUSTRIAL,1,1,95.0,12.0
