Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KHAMMAM,SATHUPALLY,PENUBALLY,LANKAPALLY,KONDRUPAD,3,INDUSTRIAL,1,1,403.0,10.0
KHAMMAM,SATHUPALLY,PENUBALLY,PENUBALLY,GANGADEVIPAD,3,INDUSTRIAL,1,1,0.0,5.0
KHAMMAM,SATHUPALLY,PENUBALLY,PENUBALLY,TALLAPENTA,3,INDUSTRIAL,1,1,1953.0,5.0
KHAMMAM,SATHUPALLY,SATHUPALLY,RAYUDUPALEM,KOTHURU-B,3,INDUSTRIAL,2,2,38.0,20.0
KHAMMAM,SATHUPALLY,SATHUPALLY,SATHUPALLY,REJERLA,3,INDUSTRIAL,9,8,1468.0,105.0
BHUPALAPALLY,BHUPALAPALLY,CHITYAL,RAMAKRISHNAPUR,GARIMILLAPALLI,3,INDUSTRIAL,5,1,20.0,62.0
BHUPALAPALLY,BHUPALAPALLY,CHITYAL,RAMAKRISHNAPUR,VALLAMPALLI[BP],3,INDUSTRIAL,1,1,119.0,49.0
BHUPALAPALLY,BHUPALAPALLY,KATARAM,KATARAM,DHANAWADA,3,INDUSTRIAL,3,1,35.0,27.5
BHUPALAPALLY,BHUPALAPALLY,BHOOPALPALLY,GHANPUR (MULUG),BASVARAJ PALLY,3,INDUSTRIAL,1,1,180.0,16.0
KAMAREDDY,BANSWADA,BANSWADA,BANSWADA RURAL,KODLAPOOR,3,INDUSTRIAL,1,0,0.0,7.5
KAMAREDDY,BANSWADA,BANSWADA,BIRKUR,BIRKUR,3,INDUSTRIAL,32,18,15148.0,912.0
NIZAMABAD,BODHAN,BODHAN,BODHAN RURAL,BHAVANIPET,3,INDUSTRIAL,2,0,0.0,15.0
NIZAMABAD,BODHAN,BODHAN,BODHAN RURAL,PEDDAMAVANDI KALAN,3,INDUSTRIAL,2,1,51.0,20.0
