Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
JAGITYAL,JAGITYAL,GOLLAPALLY,GOLLAPALLY,GUNJAPADGU,3,INDUSTRIAL,1,1,329,5.0
JAGITYAL,JAGITYAL,GOLLAPALLY,BATHIKEPALLY,RAMULAPALLY,3,INDUSTRIAL,4,2,10,20.0
JAGITYAL,JAGITYAL,GOLLAPALLY,BATHIKEPALLY,SUDDALAPALLY,3,INDUSTRIAL,5,3,1040,54.0
JAGITYAL,JAGITYAL,GOLLAPALLY,BATHIKEPALLY,LINGAPOOR,3,INDUSTRIAL,4,2,246,48.0
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,LATHNURU,3,INDUSTRIAL,2,1,87,31.0
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,DHAMMANNAPETA,3,INDUSTRIAL,4,4,727,39.88
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,CHENDOLI,3,INDUSTRIAL,3,0,0,40.0
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,GUDIPET,3,INDUSTRIAL,4,3,1776,77.0
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,NARSINGAPOOR,3,INDUSTRIAL,7,4,1893,259.5
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,PEDDAMPET,3,INDUSTRIAL,1,0,0,10.5
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,TIKKANPALLI,3,INDUSTRIAL,1,1,84,10.5
JAGITYAL,JAGITYAL,GOLLAPALLY,GOLLAPALLY,IBRAHIMNAGAR,3,INDUSTRIAL,4,3,1237,55.0
JAGITYAL,JAGITYAL,GOLLAPALLY,BATHIKEPALLY,RANGA DHAVANIPALLY,3,INDUSTRIAL,10,10,1967,32.0
JAGITYAL,JAGITYAL,GOLLAPALLY,BATHIKEPALLY,THIRUMALAPOOR,3,INDUSTRIAL,6,4,2438,87.0
MANCHERIAL,MANCHERIAL,LUXETTIPET,LUXETTIPET,POTHAPALLI,3,INDUSTRIAL,1,1,418,18.0
JAGITYAL,JAGITYAL,GOLLAPALLY,PEGADAPALLY,LEGALAMARRY,3,INDUSTRIAL,1,0,0,10.0
JAGITYAL,JAGITYAL,GOLLAPALLY,BATHIKEPALLY,MADDULAPALLY,3,INDUSTRIAL,14,11,1057,108.48
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,SHAKELLA,3,INDUSTRIAL,3,2,348,15.0
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,DONABANDA,3,INDUSTRIAL,8,6,681,164.0
JAGITYAL,JAGITYAL,GOLLAPALLY,GOLLAPALLY,AGGIMALLA,3,INDUSTRIAL,5,4,668,43.0
JAGITYAL,JAGITYAL,GOLLAPALLY,CHILAVAKODOOR,CHILVAKODOOR,3,INDUSTRIAL,7,5,3125,92.5
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,HAJIPUR,3,INDUSTRIAL,13,9,12350,614.41
JAGITYAL,JAGITYAL,MALLIAL,KODIMIAL,SURAMPET,3,INDUSTRIAL,2,0,0,31.0
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,NEMNUR,3,INDUSTRIAL,2,1,6,21.0
JAGITYAL,JAGITYAL,GOLLAPALLY,PEGADAPALLY,MALA VENKAYA PALLY,3,INDUSTRIAL,1,1,151,5.0
MANCHERIAL,MANCHERIAL,LUXETTIPET,LUXETTIPET,RANGAPET,3,INDUSTRIAL,1,1,49,36.5
JAGITYAL,JAGITYAL,GOLLAPALLY,GOLLAPALLY,BATTU BOTHAMRAJPALLY,3,INDUSTRIAL,1,1,6,5.0
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,RAPALLI,3,INDUSTRIAL,2,1,20,20.0
JAGITYAL,JAGITYAL,GOLLAPALLY,BATHIKEPALLY,ARAVELLY,3,INDUSTRIAL,2,1,121,15.0
JAGITYAL,JAGITYAL,GOLLAPALLY,BATHIKEPALLY,VENGALAIPETA,3,INDUSTRIAL,2,2,288,8.0
JAGITYAL,JAGITYAL,GOLLAPALLY,GOLLAPALLY,ISRAJPALLY,3,INDUSTRIAL,2,1,85,23.0
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,PADTHANAPALLI,3,INDUSTRIAL,2,1,1366,95.0
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,MANCHERIAL - RURAL,TALLAPALLI,3,INDUSTRIAL,2,1,21,26.0
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,KYATHANPALLY,CHIRRAKUNTA,3,INDUSTRIAL,3,3,4319,69.5
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,MANDAMARRY,NARLAPUR,3,INDUSTRIAL,1,1,666,18.0
MANCHERIAL,MANCHERIAL,LUXETTIPET,JANNARAM,TAPALPUR,3,INDUSTRIAL,6,4,499,95.0
MANCHERIAL,MANCHERIAL,LUXETTIPET,LUXETTIPET,JANDA VENKATAPUR,3,INDUSTRIAL,2,2,2245,50.0
