Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KAMAREDDY,KAMAREDDY,Kamareddy Rural,VELPUGONDA,BHAVANIPET,3,INDUSTRIAL,33,27,4124.0,347.88
KARIMNAGAR,KARIMNAGAR,Karimnagar Rural,BOMMAKAL,GOPALPOOR,3,INDUSTRIAL,2,2,9980.0,50.0
KARIMNAGAR,KARIMNAGAR,Karimnagar Rural,KNR WEST,NAGULAMALLIAL,3,INDUSTRIAL,11,9,5343.0,486.0
KARIMNAGAR,KARIMNAGAR,Karimnagar Rural,MUQUDUMPUR,FAKKER PETA,3,INDUSTRIAL,7,5,339.0,39.5
JAGITYAL,JAGITYAL,Jagitial Rural,VADDELINGAPUR,RAMARAOPALLY,3,INDUSTRIAL,1,1,46.0,4.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHORAJ,BHORAJ,3,INDUSTRIAL,4,2,886.0,50.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHORAJ,PUSAI,3,INDUSTRIAL,2,2,175.0,70.0
ADILABAD,ADILABAD,ADILABAD RURAL,JAINATH,KAMATHA,3,INDUSTRIAL,1,0,0.0,10.0
ADILABAD,ADILABAD,ADILABAD RURAL,TAMSI,WADDADI,3,INDUSTRIAL,1,1,39.0,10.0
ADILABAD,ADILABAD,ADILABAD TOWN,ADILABAD - NORTH,ADILABAD - NORTH,3,INDUSTRIAL,313,157,51471.0,11809.61
KHAMMAM,KHAMMAM,Khammam R/East,PEDDA GOPATHI,THANIKELLA,3,INDUSTRIAL,24,14,8142.0,807.1
ADILABAD,ADILABAD,ADILABAD RURAL,BELA,BELA,3,INDUSTRIAL,11,9,2186.0,227.0
ADILABAD,ADILABAD,ADILABAD RURAL,BELA,KAPSI (B),3,INDUSTRIAL,1,0,0.0,10.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHEEMPUR,WADDUR,3,INDUSTRIAL,1,0,0.0,10.0
ADILABAD,ADILABAD,ADILABAD RURAL,BHORAJ,MANDAGADA,3,INDUSTRIAL,2,2,41.0,20.0
ADILABAD,ADILABAD,ADILABAD RURAL,JAINATH,DEEPAIGUDA,3,INDUSTRIAL,3,3,1026.0,30.0
