Population,Mean_1,Mean_2,Mean_3,Mean_4,Variance_1,Variance_2,Variance_3,Variance_4,Skewness_1,Skewness_2,Skewness_3,Skewness_4,AQI
1.40E+05,10.475,6.0337,9140.1,273.27,848.56,267.14,9.92E+08,7.46E+05,7.6161,8.6284,7.2194,6.3623,78
1.40E+05,10.464,6.0483,9127.4,273.04,847.88,269.83,9.83E+08,7.44E+05,7.6245,8.6091,7.1952,6.3476,75
1.40E+05,10.453,6.0647,9114.6,272.8,847.37,272.81,9.75E+08,7.42E+05,7.6319,8.5884,7.1677,6.3345,74
1.40E+05,10.443,6.083,9101.7,272.55,847.03,276.06,9.66E+08,7.39E+05,7.6386,8.5663,7.1372,6.3231,72
1.40E+05,10.434,6.1029,9088.9,272.3,846.85,279.54,9.57E+08,7.37E+05,7.6442,8.5428,7.104,6.3134,70
1.41E+05,10.426,6.1205,9076.3,272.04,846.84,283.21,9.48E+08,7.36E+05,7.6489,8.518,7.0684,6.3056,69
1.41E+05,10.418,6.1373,9064.1,271.78,846.98,287.05,9.40E+08,7.34E+05,7.6524,8.4919,7.0307,6.2998,68
1.41E+05,10.412,6.1536,9052.5,271.52,847.27,291.02,9.31E+08,7.33E+05,7.6547,8.4646,6.991,6.2958,68
1.41E+05,10.406,6.1694,9041.7,271.26,847.72,295.09,9.23E+08,7.31E+05,7.6556,8.4364,6.9498,6.2939,68
1.42E+05,10.402,6.1851,9031.7,271.01,848.31,299.24,9.16E+08,7.30E+05,7.6549,8.4075,6.9074,6.294,68
1.42E+05,10.398,6.2007,9022.8,270.76,849.05,303.43,9.08E+08,7.30E+05,7.6526,8.3782,6.8644,6.2962,68
1.42E+05,10.396,6.2161,9015.1,270.53,849.94,307.66,9.02E+08,7.29E+05,7.6486,8.3488,6.8214,6.3004,68
1.42E+05,10.395,6.2314,9008.8,270.31,850.98,311.9,8.97E+08,7.29E+05,7.6431,8.3198,6.779,6.3066,68
1.43E+05,10.396,6.2464,9004.1,270.1,852.18,316.12,8.92E+08,7.29E+05,7.6362,8.2916,6.7379,6.3149,68
1.43E+05,10.397,6.261,9001,269.91,853.53,320.32,8.88E+08,7.29E+05,7.6281,8.2647,6.6987,6.3252,68
1.43E+05,10.4,6.275,8999.6,269.74,855.04,324.46,8.85E+08,7.30E+05,7.6191,8.2395,6.662,6.3373,67
1.43E+05,10.404,6.288,9000.1,269.59,856.71,328.53,8.83E+08,7.31E+05,7.6095,8.2164,6.628,6.3512,66
1.43E+05,10.409,6.2998,9002.5,269.46,858.53,332.49,8.83E+08,7.32E+05,7.5994,8.1957,6.5971,6.3666,64
1.44E+05,10.416,6.3103,9006.9,269.35,860.51,336.33,8.83E+08,7.33E+05,7.5891,8.1776,6.5692,6.3835,62
1.44E+05,10.424,6.3191,9013.2,269.26,862.62,340.01,8.84E+08,7.35E+05,7.5786,8.1623,6.5444,6.4016,60
1.44E+05,10.433,6.3261,9021.6,269.19,864.87,343.49,8.87E+08,7.37E+05,7.568,8.1498,6.5226,6.4206,57
1.44E+05,10.443,6.3311,9031.9,269.15,867.25,346.75,8.91E+08,7.39E+05,7.5573,8.1405,6.5039,6.4405,54
1.44E+05,10.454,6.334,9044.1,269.13,869.74,349.75,8.96E+08,7.41E+05,7.5466,8.1342,6.4882,6.461,51
1.44E+05,10.466,6.3346,9058.1,269.14,872.33,352.47,9.02E+08,7.44E+05,7.5357,8.1311,6.4755,6.482,48
1.45E+05,10.479,6.3328,9073.9,269.17,875.01,354.86,9.10E+08,7.47E+05,7.5248,8.1313,6.4659,6.5032,45
1.45E+05,10.493,6.3284,9091.3,269.23,877.75,356.92,9.18E+08,7.49E+05,7.5139,8.1348,6.4593,6.5247,43
1.45E+05,10.507,6.3215,9110.1,269.31,880.54,358.6,9.27E+08,7.52E+05,7.503,8.1417,6.4559,6.5461,41
1.45E+05,10.522,6.3118,9130.2,269.41,883.34,359.91,9.37E+08,7.55E+05,7.4923,8.1521,6.4557,6.5676,39
1.45E+05,10.537,6.2996,9151.4,269.54,886.13,360.8,9.48E+08,7.58E+05,7.4819,8.1658,6.4584,6.5889,38
1.45E+05,10.552,6.2849,9173.6,269.68,888.88,361.29,9.59E+08,7.61E+05,7.4718,8.1827,6.4643,6.6099,38
1.46E+05,10.568,6.2679,9196.5,269.84,891.56,361.36,9.71E+08,7.64E+05,7.4621,8.2028,6.473,6.6306,38
1.46E+05,10.583,6.2488,9219.9,270.01,894.14,361.01,9.83E+08,7.67E+05,7.453,8.2256,6.4846,6.6508,38
1.46E+05,10.599,6.2281,9243.6,270.2,896.6,360.25,9.95E+08,7.70E+05,7.4444,8.2509,6.4989,6.6704,40
1.46E+05,10.614,6.2061,9267.4,270.4,898.92,359.08,1.01E+09,7.73E+05,7.4365,8.2784,6.5158,6.6893,41
1.46E+05,10.629,6.1832,9291,270.61,901.07,357.51,1.02E+09,7.76E+05,7.4291,8.3076,6.5352,6.7074,43
1.46E+05,10.643,6.16,9314.3,270.82,903.04,355.57,1.03E+09,7.79E+05,7.4223,8.3383,6.5571,6.7244,45
1.47E+05,10.657,6.1367,9337.1,271.05,904.82,353.27,1.05E+09,7.81E+05,7.4161,8.37,6.5812,6.7402,47
1.47E+05,10.67,6.1138,9359.1,271.28,906.38,350.63,1.06E+09,7.84E+05,7.4104,8.4025,6.6075,6.7548,49
1.47E+05,10.682,6.0916,9380.2,271.52,907.71,347.69,1.07E+09,7.86E+05,7.4052,8.4355,6.6358,6.7679,51
1.47E+05,10.694,6.0702,9400.2,271.75,908.81,344.47,1.08E+09,7.88E+05,7.4004,8.4687,6.666,6.7794,53
1.47E+05,10.704,6.0499,9419,271.99,909.66,341.01,1.09E+09,7.90E+05,7.396,8.5019,6.6978,6.7893,55
1.48E+05,10.714,6.0308,9436.4,272.23,910.25,337.33,1.10E+09,7.92E+05,7.392,8.5349,6.7311,6.7975,56
1.48E+05,10.722,6.0129,9452.2,272.47,910.56,333.48,1.11E+09,7.94E+05,7.3885,8.5674,6.7657,6.804,57
1.48E+05,10.729,5.9965,9466.4,272.7,910.6,329.47,1.12E+09,7.95E+05,7.3854,8.5992,6.8012,6.8087,58
1.48E+05,10.734,5.9814,9478.9,272.93,910.36,325.35,1.13E+09,7.96E+05,7.3827,8.63,6.8375,6.8117,58
1.49E+05,10.739,5.9676,9489.6,273.15,909.84,321.14,1.13E+09,7.97E+05,7.3804,8.6596,6.8741,6.8129,59
1.49E+05,10.742,5.9552,9498.4,273.36,909.04,316.87,1.14E+09,7.98E+05,7.3787,8.6878,6.9108,6.8123,59
1.49E+05,10.743,5.944,9505.4,273.56,907.98,312.56,1.14E+09,7.98E+05,7.3774,8.7142,6.9471,6.81,60
1.49E+05,10.744,5.9339,9510.4,273.75,906.67,308.23,1.14E+09,7.98E+05,7.3767,8.7387,6.9826,6.8059,60
1.50E+05,10.743,5.9248,9513.4,273.93,905.12,303.9,1.15E+09,7.98E+05,7.3766,8.7612,7.0171,6.8001,61
1.50E+05,10.74,5.9167,9514.5,274.1,903.36,299.6,1.15E+09,7.98E+05,7.3771,8.7815,7.0499,6.7925,62
1.50E+05,10.737,5.9094,9513.7,274.26,901.39,295.35,1.15E+09,7.98E+05,7.3784,8.7995,7.0807,6.7833,64
1.50E+05,10.732,5.9036,9510.9,274.4,899.24,291.17,1.14E+09,7.97E+05,7.3803,8.8152,7.1091,6.7724,65
1.50E+05,10.726,5.8992,9506.3,274.54,896.93,287.09,1.14E+09,7.96E+05,7.3831,8.8286,7.1349,6.7598,67
1.51E+05,10.718,5.8945,9499.7,274.66,894.47,283.15,1.14E+09,7.95E+05,7.3868,8.8396,7.1576,6.7458,70
1.51E+05,10.71,5.8903,9491.3,274.77,891.89,279.38,1.13E+09,7.94E+05,7.3913,8.8485,7.177,6.7303,72
1.51E+05,10.701,5.8864,9481.1,274.87,889.2,275.81,1.13E+09,7.93E+05,7.3968,8.8551,7.193,6.7135,75
1.51E+05,10.69,5.8827,9469,274.96,886.43,272.48,1.12E+09,7.91E+05,7.4032,8.8595,7.2054,6.6956,77
1.51E+05,10.679,5.8792,9455.2,275.03,883.6,269.41,1.11E+09,7.89E+05,7.4106,8.8618,7.2142,6.6767,80
1.51E+05,10.667,5.8758,9439.6,275.09,880.73,266.65,1.10E+09,7.87E+05,7.4189,8.8621,7.2192,6.6569,82
1.52E+05,10.655,5.8727,9422.2,275.14,877.85,264.21,1.09E+09,7.85E+05,7.4281,8.8603,7.2204,6.6365,84
1.52E+05,10.642,5.8701,9403.1,275.18,874.98,262.11,1.08E+09,7.83E+05,7.4381,8.8565,7.2179,6.6156,86
1.52E+05,10.629,5.8687,9382.3,275.2,872.15,260.37,1.07E+09,7.81E+05,7.449,8.8508,7.2116,6.5943,88
1.52E+05,10.615,5.8694,9359.6,275.21,869.38,258.98,1.06E+09,7.79E+05,7.4606,8.8432,7.2018,6.5727,89
1.52E+05,10.601,5.8733,9335.2,275.2,866.69,257.97,1.05E+09,7.77E+05,7.4728,8.8337,7.1884,6.5511,89
1.52E+05,10.587,5.8817,9309.1,275.18,864.11,257.32,1.04E+09,7.74E+05,7.4856,8.8224,7.1717,6.5294,89
1.53E+05,10.573,5.8952,9281.1,275.15,861.64,257.04,1.02E+09,7.72E+05,7.4988,8.8094,7.152,6.5079,89
1.53E+05,10.559,5.9133,9251.4,275.1,859.3,257.12,1.01E+09,7.69E+05,7.5123,8.7946,7.1297,6.4865,88
1.53E+05,10.545,5.935,9219.8,275.04,857.11,257.57,9.98E+08,7.67E+05,7.526,8.7782,7.105,6.4656,87
1.53E+05,10.531,5.9586,9186.3,274.96,855.07,258.4,9.85E+08,7.64E+05,7.5396,8.7602,7.0784,6.4451,85
1.53E+05,10.518,5.9825,9151,274.86,853.2,259.59,9.72E+08,7.62E+05,7.5531,8.7406,7.0505,6.4252,84
1.53E+05,10.505,6.0056,9113.8,274.76,851.5,261.15,9.59E+08,7.60E+05,7.5663,8.7195,7.0215,6.4061,82
1.54E+05,10.492,6.0273,9074.9,274.63,849.99,263.06,9.46E+08,7.57E+05,7.5789,8.697,6.992,6.388,80
1.54E+05,10.48,6.0473,9034.2,274.5,848.66,265.33,9.34E+08,7.55E+05,7.5908,8.6731,6.9624,6.3709,79
1.54E+05,10.469,6.0658,8991.9,274.35,847.53,267.93,9.22E+08,7.53E+05,7.602,8.6479,6.933,6.3552,78
1.54E+05,10.459,6.0829,8948.1,274.18,846.6,270.84,9.11E+08,7.51E+05,7.6121,8.6216,6.9042,6.3409,77
1.54E+05,10.449,6.0988,8902.9,274.01,845.87,274.04,9.00E+08,7.49E+05,7.6213,8.5943,6.8763,6.3281,76
1.55E+05,10.44,6.1139,8856.7,273.82,845.36,277.49,8.90E+08,7.47E+05,7.6292,8.566,6.8496,6.3172,76
1.55E+05,10.433,6.1282,8809.6,273.63,845.06,281.17,8.80E+08,7.45E+05,7.6359,8.537,6.8243,6.3081,75
